;;;;;;
DISTRITO;POBLACIÓN;;;N° CONEXIONES;TOTAL POBLACIÓN;COBERTURA(%)
;2005;2007;2018;;ABASTECIDA;
San Vicente;43943;46464;60330;8852;0;0.00
Imperial;34778;36340;44931;8615;0;0.00
Mala;25269;27881;42247;7227;0;0.00
Quilmaná;13256;13663;15902;4939;15805;99.39
San Luis;11653;11940;13519;2576;0;0.00
Cerro Azul;6491;6893;9104;2285;7312;80.32
Asia;6037;6618;9814;1302;0;0.00
San Antonio;3460;3640;4630;1174;3757;81.14
Santa Cruz;2450;2547;3081;859;2749;89.23
Lunahuaná;4383;4567;5579;641;0;0.00
TOTAL;151720;160553;209135;38470;29622;14.16
;;;;;;
